Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-10-01 00:00:00,38,31.0,151.0,28.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.51667,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,238.144,1.0,95.7404,1.0,618.438,1.0,0.0,1.0,0.0,1.0,15.9935,1.0,0.139435,1.0
2017-10-01 01:00:00,38,6.0,1.0,29.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.05958,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,269.26,1.0,97.5724,1.0,618.153,1.0,0.0,1.0,0.0,1.0,15.7037,1.0,0.12585,1.0
2017-10-01 02:00:00,38,18.0,151.0,17.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.97722,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,187.974,1.0,96.1957,1.0,617.824,1.0,0.0,1.0,0.0,1.0,15.5286,1.0,0.113685,1.0
2017-10-01 03:00:00,38,9.0,1.0,26.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.465,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,249.413,1.0,97.5317,1.0,617.378,1.0,0.0,1.0,0.0,1.0,15.2797,1.0,0.0999799,1.0
2017-10-01 04:00:00,38,21.0,151.0,19.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.36042,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,232.841,1.0,97.3126,1.0,617.199,1.0,0.0,1.0,0.0,1.0,14.5479,1.0,0.0904576,1.0
2017-10-01 05:00:00,38,15.0,1.0,16.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.11778,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,234.001,1.0,98.0258,1.0,617.291,1.0,0.0,1.0,0.0,1.0,13.8842,1.0,0.0958697,1.0
2017-10-01 06:00:00,38,23.0,1.0,24.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.44069,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,256.53,1.0,95.7817,1.0,617.649,1.0,0.0,1.0,0.13525,1.0,14.0308,1.0,0.160342,1.0
2017-10-01 07:00:00,38,15.0,1.0,19.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.78917,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,281.4,1.0,92.8079,1.0,618.054,1.0,0.0,1.0,62.8047,1.0,14.8865,1.0,0.105128,1.0
2017-10-01 08:00:00,38,46.0,1.0,53.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.39889,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,47.8468,1.0,85.369,1.0,618.326,1.0,0.0,1.0,195.341,1.0,17.1396,1.0,0.103213,1.0
2017-10-01 09:00:00,38,40.0,1.0,80.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,12.6544,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,109.847,1.0,80.3849,1.0,618.538,1.0,0.0,1.0,504.412,1.0,18.9988,1.0,0.836134,1.0
2017-10-01 10:00:00,38,51.0,1.0,57.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,29.5976,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,100.021,1.0,73.5013,1.0,618.604,1.0,0.0,1.0,731.112,1.0,20.9625,1.0,0.564865,1.0
2017-10-01 11:00:00,38,42.0,1.0,55.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,52.0489,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,76.7922,1.0,66.3644,1.0,618.2,1.0,0.0,1.0,787.396,1.0,22.4933,1.0,0.605468,1.0
2017-10-01 12:00:00,38,45.0,1.0,47.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,67.6826,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,132.231,1.0,58.2081,1.0,617.436,1.0,0.0,1.0,934.849,1.0,24.1357,1.0,0.662564,1.0
