Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-07-01 00:00:00,38,25.0,1.0,60.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.27514,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,229.489,1.0,0.400139,151.0,619.599,1.0,0.0,1.0,0.0,1.0,17.8878,1.0,0.492535,1.0
2017-07-01 01:00:00,38,15.0,1.0,51.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.35333,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,231.438,1.0,0.400278,151.0,619.351,1.0,0.0,1.0,0.0,1.0,17.7943,1.0,0.142089,1.0
2017-07-01 02:00:00,38,27.0,1.0,40.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.9425,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,195.837,1.0,0.400278,151.0,619.071,1.0,0.0,1.0,0.0,1.0,17.8371,1.0,0.153447,1.0
2017-07-01 03:00:00,38,16.0,1.0,38.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.24639,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,243.042,1.0,0.400278,151.0,618.969,1.0,0.0,1.0,0.0,1.0,17.9372,1.0,0.190763,1.0
2017-07-01 04:00:00,38,18.0,1.0,26.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.31458,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,201.953,1.0,0.400139,151.0,618.753,1.0,0.0,1.0,0.0,1.0,17.9363,1.0,0.138706,1.0
2017-07-01 05:00:00,38,13.0,1.0,34.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.57528,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,228.657,1.0,0.400417,151.0,618.484,1.0,0.0,1.0,-0.0206666,151.0,17.3054,1.0,0.25597,1.0
2017-07-01 06:00:00,38,17.0,1.0,33.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.25417,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,276.473,1.0,0.400833,151.0,618.408,1.0,0.0,1.0,0.679083,1.0,16.7704,1.0,0.284144,1.0
2017-07-01 07:00:00,38,29.0,1.0,58.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.47556,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,196.07,1.0,0.400278,151.0,618.647,1.0,0.0,1.0,49.4167,1.0,17.4624,1.0,0.242074,1.0
2017-07-01 08:00:00,38,30.0,1.0,50.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.53153,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,156.423,1.0,0.400972,151.0,619.06,1.0,0.0,1.0,199.085,1.0,19.0011,1.0,0.0039381,1.0
2017-07-01 09:00:00,38,26.0,1.0,42.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.0119,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,117.81,1.0,0.400833,151.0,619.246,1.0,0.0,1.0,471.685,1.0,22.396,1.0,0.862057,1.0
