Fecha_Hora,pm25,calidad_pm25,ozono,calidad_ozono,dviento_ssr,calidad_dviento_ssr,pliquida_ssr,calidad_pliquida_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr,pm25_ref
2017-01-02 13:00:00,7.0,1.0,43.2911,1.0,131.766,1.0,0.0,1.0,26.8514,1.0,0.776226,1.0,5.835954342978755
2017-01-02 14:00:00,8.0,1.0,45.76,1.0,55.6843,1.0,0.0,1.0,27.2657,1.0,0.656399,1.0,6.660464048334954
2017-01-02 15:00:00,7.0,1.0,26.1096,1.0,94.4686,1.0,0.0,1.0,28.3729,1.0,1.26101,1.0,5.806505818396237
2017-01-02 16:00:00,5.0,1.0,26.0963,1.0,68.6218,1.0,0.0,1.0,28.8146,1.0,0.692098,1.0,4.141437376693697
2017-01-02 17:00:00,4.0,1.0,24.9797,1.0,57.0573,1.0,0.0,1.0,27.9501,1.0,0.629028,1.0,3.3226624126085955
2017-01-02 18:00:00,6.0,1.0,19.5831,1.0,0.619837,1.0,0.0,1.0,24.0986,1.0,1.00581,1.0,5.048572060739846
2017-01-02 19:00:00,8.0,1.0,10.0474,1.0,285.439,1.0,0.0,1.0,21.7132,1.0,0.73268,1.0,6.785885690060268
2017-01-02 20:00:00,9.0,1.0,10.3742,1.0,256.62,1.0,0.0,1.0,21.0642,1.0,0.849239,1.0,7.650961325391672
2017-01-02 21:00:00,19.0,1.0,8.02556,1.0,325.061,1.0,0.0,1.0,20.3015,1.0,0.142959,1.0,16.19400966543969
2017-01-02 22:00:00,11.0,1.0,7.11792,1.0,332.23,1.0,0.0,1.0,19.8036,1.0,0.744488,1.0,9.39141371852879
2017-01-02 23:00:00,8.0,1.0,4.02222,1.0,279.049,1.0,0.0,1.0,18.6857,1.0,0.245314,1.0,6.856282385621014
2017-01-03 00:00:00,,1.0,1.57625,1.0,242.152,1.0,0.0,1.0,18.334,1.0,0.301934,1.0,
2017-01-03 01:00:00,,151.0,1.89417,1.0,251.418,1.0,0.0,1.0,17.7454,1.0,0.677615,1.0,
2017-01-03 02:00:00,,151.0,2.45847,1.0,276.172,1.0,0.0,1.0,17.1035,1.0,0.209229,1.0,
2017-01-03 03:00:00,,151.0,3.43583,1.0,223.169,1.0,0.0,1.0,17.1155,1.0,0.116224,1.0,
2017-01-03 04:00:00,,1.0,2.67319,1.0,272.683,1.0,0.0,1.0,16.9994,1.0,0.196499,1.0,
2017-01-03 05:00:00,15.0,1.0,1.17514,1.0,217.483,1.0,0.0,1.0,16.5304,1.0,0.192765,1.0,12.951178066017189
2017-01-03 06:00:00,19.0,1.0,0.749305,1.0,213.501,1.0,0.0,1.0,16.8456,1.0,0.384865,1.0,16.386994931432667
2017-01-03 07:00:00,35.0,1.0,0.735972,1.0,249.764,1.0,0.0,1.0,16.6664,1.0,0.23788,1.0,30.205234645618855
2017-01-03 08:00:00,32.0,1.0,1.48028,1.0,158.302,1.0,0.0,1.0,17.5693,1.0,0.059142,1.0,27.53044561410789
2017-01-03 09:00:00,28.0,1.0,9.83236,1.0,239.649,1.0,0.0,1.0,19.8421,1.0,0.293034,1.0,23.90227549793604
2017-01-03 10:00:00,28.0,1.0,27.2704,1.0,93.5104,1.0,0.0,1.0,22.8328,1.0,0.573857,1.0,23.660759655354386
2017-01-03 11:00:00,20.0,1.0,35.8476,1.0,292.3,1.0,0.0,1.0,24.089,1.0,0.455858,1.0,16.829117052316306
2017-01-03 12:00:00,16.0,1.0,58.1081,1.0,10.6771,1.0,0.0,1.0,25.6857,1.0,0.544008,1.0,13.391358324359363
2017-01-03 13:00:00,23.0,1.0,78.8217,1.0,29.5188,1.0,0.0,1.0,25.6732,1.0,0.946139,1.0,19.250882836541688
2017-01-03 14:00:00,23.0,1.0,85.1092,1.0,290.385,1.0,0.0,1.0,25.3686,1.0,0.0744814,1.0,19.270525897014338
2017-01-03 15:00:00,21.0,1.0,66.5358,1.0,149.918,1.0,0.0,1.0,25.4417,1.0,0.682864,1.0,17.59052049902633
2017-01-03 16:00:00,22.0,1.0,61.7834,1.0,239.513,1.0,0.0,1.0,25.1563,1.0,1.27442,1.0,18.44579519730154
2017-01-03 17:00:00,16.0,1.0,47.5803,1.0,0.415243,1.0,0.0,1.0,24.8816,1.0,0.9151,1.0,13.427488691839246
2017-01-03 18:00:00,3.0,1.0,18.314,1.0,56.2203,1.0,0.0,1.0,23.3367,1.0,0.492283,1.0,2.5307728425154217
2017-01-03 19:00:00,8.0,1.0,10.3561,1.0,307.722,1.0,0.0,1.0,21.4285,1.0,0.278221,1.0,6.792444015450479
2017-01-03 20:00:00,20.0,1.0,9.65417,1.0,287.793,1.0,0.0,1.0,19.9933,1.0,0.807867,1.0,17.064247838901476
2017-01-03 21:00:00,15.0,1.0,10.6639,1.0,290.414,1.0,0.0,1.0,19.4547,1.0,0.369572,1.0,12.821743610526713
2017-01-03 22:00:00,15.0,1.0,10.9986,1.0,288.164,1.0,0.0,1.0,18.9908,1.0,0.350645,1.0,12.84210367957877
2017-01-03 23:00:00,11.0,1.0,10.8917,1.0,291.974,1.0,0.0,1.0,18.3875,1.0,0.279177,1.0,9.437031112403709
2017-01-04 00:00:00,9.0,1.0,6.02361,1.0,263.269,1.0,0.0,1.0,17.314,1.0,0.327184,1.0,7.749743395329717
2017-01-04 01:00:00,10.0,1.0,6.00264,1.0,271.532,1.0,0.0,1.0,16.7646,1.0,0.544146,1.0,8.627143861525855
2017-01-04 02:00:00,18.0,1.0,6.97486,1.0,259.236,1.0,0.0,1.0,16.3817,1.0,0.201303,1.0,15.549395562427542
2017-01-04 03:00:00,12.0,1.0,6.6382,1.0,259.996,1.0,0.0,1.0,16.0843,1.0,0.289334,1.0,10.376922633685107
2017-01-04 04:00:00,12.0,1.0,6.57681,1.0,234.93,1.0,0.0,1.0,15.7289,1.0,0.382644,1.0,10.389689084623583
2017-01-04 05:00:00,11.0,1.0,6.67389,1.0,276.89,1.0,0.0,1.0,15.6096,1.0,0.505157,1.0,9.527816418683209
2017-01-04 06:00:00,26.0,1.0,1.59056,1.0,217.691,1.0,0.0,1.0,15.7665,1.0,0.315307,1.0,22.5080634043659
2017-01-04 07:00:00,31.0,1.0,1.20694,1.0,258.306,1.0,0.0,1.0,15.8096,1.0,0.342431,1.0,26.832534310837374
2017-01-04 08:00:00,36.0,1.0,1.77944,1.0,170.971,1.0,0.0,1.0,16.6524,1.0,0.185513,1.0,31.06974221857447
2017-01-04 09:00:00,41.0,1.0,3.29944,1.0,62.3082,1.0,0.0,1.0,17.5121,1.0,0.0250735,1.0,35.28032496566483
2017-01-04 10:00:00,46.0,1.0,16.5699,1.0,110.307,1.0,0.0,1.0,20.6682,1.0,0.757541,1.0,39.15761795586838
2017-01-04 11:00:00,43.0,1.0,37.5043,1.0,108.671,1.0,0.0,1.0,23.0088,1.0,0.948228,1.0,36.314572910053364
2017-01-04 12:00:00,39.0,1.0,47.9025,1.0,132.456,1.0,0.0,1.0,22.8103,1.0,1.0611,1.0,32.958563533187466
2017-01-04 13:00:00,41.0,1.0,63.556,1.0,173.186,1.0,0.0,1.0,24.7492,1.0,0.688835,1.0,34.423232231582254
2017-01-04 14:00:00,22.0,1.0,47.3564,1.0,165.867,1.0,0.0,1.0,25.4474,1.0,1.24558,1.0,18.42781255250311
2017-01-04 15:00:00,18.0,1.0,28.8257,1.0,156.105,1.0,0.0,1.0,24.7929,1.0,1.80589,1.0,15.110421933739998
2017-01-04 16:00:00,14.0,1.0,29.6918,1.0,168.113,1.0,0.0,1.0,25.732,1.0,1.65721,1.0,11.715623377986676
2017-01-04 17:00:00,14.0,1.0,27.5821,1.0,218.196,1.0,0.0,1.0,24.7317,1.0,0.323733,1.0,11.754964962464673
2017-01-04 18:00:00,22.0,1.0,14.009,1.0,223.469,1.0,0.0,1.0,22.5142,1.0,0.444552,1.0,18.610629612461675
2017-01-04 19:00:00,20.0,1.0,7.73056,1.0,269.665,1.0,0.0,1.0,20.1903,1.0,0.656204,1.0,17.05278791735553
2017-01-04 20:00:00,18.0,1.0,2.91833,1.0,282.898,1.0,0.0,1.0,19.5197,1.0,0.47693,1.0,15.382675183533182
2017-01-04 21:00:00,18.0,1.0,15.4442,1.0,317.372,1.0,0.0,1.0,20.1225,1.0,0.347045,1.0,15.351057228898387
2017-01-04 22:00:00,22.0,1.0,15.1725,1.0,291.606,1.0,0.0,1.0,19.9229,1.0,0.19696,1.0,18.775181587464388
2017-01-04 23:00:00,20.0,1.0,12.0181,1.0,250.149,1.0,1.5,1.0,18.9569,1.0,0.544636,1.0,17.124792065895896
2017-01-05 00:00:00,26.0,1.0,9.03597,1.0,265.886,1.0,0.0,1.0,18.2754,1.0,0.243637,1.0,22.31429003980944
2017-01-05 01:00:00,22.0,1.0,6.60792,1.0,254.515,1.0,0.0,1.0,18.1914,1.0,0.50022,1.0,18.88676623323974
2017-01-05 02:00:00,20.0,1.0,4.75389,1.0,276.426,1.0,0.0,1.0,17.4935,1.0,0.324424,1.0,17.211015981824627
2017-01-05 03:00:00,13.0,1.0,4.64375,1.0,254.608,1.0,0.0,1.0,17.161,1.0,0.401143,1.0,11.199973305468069
2017-01-05 04:00:00,16.0,1.0,6.43431,1.0,292.528,1.0,0.0,1.0,17.5193,1.0,0.410709,1.0,13.767590656497807
2017-01-05 05:00:00,30.0,1.0,3.78611,1.0,229.634,1.0,0.0,1.0,17.4988,1.0,0.240747,1.0,25.816053206722927
2017-01-05 06:00:00,34.0,1.0,1.055,1.0,150.122,1.0,0.0,1.0,17.5083,1.0,0.109181,1.0,29.257237346990813
2017-01-05 07:00:00,41.0,1.0,0.831945,1.0,212.69,1.0,1.0,1.0,17.2007,1.0,0.273371,1.0,35.31816297740136
2017-01-05 08:00:00,23.0,1.0,1.15181,1.0,225.271,1.0,2.0,1.0,17.0054,1.0,0.254225,1.0,19.82596364582725
2017-01-05 09:00:00,28.0,1.0,5.74944,1.0,2.25312,1.0,0.0,1.0,17.9764,1.0,0.450534,1.0,24.055454582335457
2017-01-05 10:00:00,32.0,1.0,11.5711,1.0,142.115,1.0,0.0,1.0,19.3328,1.0,1.12418,1.0,27.364453149455336
2017-01-05 11:00:00,27.0,1.0,21.8899,1.0,149.373,1.0,0.0,1.0,20.7961,1.0,0.279106,1.0,22.973818658397413
